City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,vannes,47.66,-2.76,48.0,93,77,5.82,FR,1573252989
169,esperance,-33.86,121.89,53.6,76,0,13.87,AU,1573252402
170,faanui,-16.48,-151.75,81.32,77,98,19.28,PF,1573252429
171,jumla,29.28,82.18,35.01,71,0,4.36,NP,1573252989
172,nanortalik,60.14,-45.24,35.98,80,33,12.37,GL,1573252463
173,nesna,66.2,13.02,10.4,78,40,4.7,NO,1573252989
174,albany,42.65,-73.75,32.0,60,20,13.87,US,1573252201
175,gold coast,-28.0,153.41,84.0,56,90,14.99,AU,1573252817
176,notse,6.95,1.17,75.79,88,39,3.76,TG,1573252990
177,yashalta,46.34,42.27,53.65,72,73,5.39,RU,1573252990
178,kaitangata,-46.28,169.85,60.3,63,44,17.05,NZ,1573252429
179,hambantota,6.12,81.12,77.0,100,40,5.82,LK,1573252465
180,ulladulla,-35.36,150.48,59.0,30,12,16.11,AU,1573252990
181,huarmey,-10.07,-78.15,63.32,79,69,3.15,PE,1573252990
182,kenai,60.55,-151.26,46.99,70,90,16.11,US,1573252408
183,saint-philippe,45.36,-73.48,30.2,74,90,11.41,CA,1573252393
184,kahului,20.89,-156.47,82.4,69,40,10.29,US,1573252469
185,clyde river,70.47,-68.59,19.4,85,90,9.17,CA,1573252421
186,thinadhoo,0.53,72.93,81.97,76,95,12.44,MV,1573252991
187,sioux lookout,50.1,-91.92,19.4,79,90,5.82,CA,1573252482
188,aljezur,37.31,-8.8,55.0,83,0,1.99,PT,1573252991
189,reconquista,-29.14,-59.64,74.55,75,9,8.81,AR,1573252991
190,hilo,19.71,-155.08,86.0,58,1,6.93,US,1573252413
191,qaqortoq,60.72,-46.03,39.2,32,27,8.21,GL,1573252430
192,nikolskoye,59.7,30.79,33.01,95,90,6.71,RU,1573252395
193,tessalit,20.2,1.01,78.73,19,60,11.3,ML,1573252992
194,veraval,49.65,0.71,46.4,100,75,5.82,FR,1573252992
195,ketchikan,55.34,-131.65,51.8,93,90,34.45,US,1573252410
196,petropavlovsk-kamchatskiy,53.05,158.65,30.2,100,40,4.47,RU,1573252490
197,batagay-alyta,67.8,130.41,-14.91,89,30,2.55,RU,1573252992
198,surovikino,48.61,42.84,49.15,90,57,11.63,RU,1573252993
199,broome,52.47,1.45,46.0,93,97,10.29,GB,1573252993
200,dunda,30.62,78.32,48.97,48,0,5.77,IN,1573252993
201,hamilton,43.26,-79.87,33.01,54,20,3.36,CA,1573252460
202,vostok,46.45,135.83,12.11,74,100,7.43,RU,1573252397
203,san carlos,11.12,-84.78,75.0,8,100,21.99,NI,1573252993
204,saint george,39.45,22.34,55.4,100,20,3.87,GR,1573252412
205,kannod,22.67,76.74,70.32,80,0,5.08,IN,1573252993
206,cabo san lucas,22.89,-109.91,91.99,48,20,16.11,MX,1573252144
207,souillac,45.6,-0.6,44.6,93,0,2.24,FR,1573252427
208,katherine,-14.47,132.26,86.0,62,0,8.05,AU,1573252994
209,roald,62.58,6.12,33.8,64,0,13.87,NO,1573252470
210,high rock,26.63,-78.28,80.6,78,40,5.82,BS,1573252994
211,kang,-23.67,22.79,79.05,31,100,2.57,BW,1573252994
212,nyurba,63.29,118.35,5.41,89,100,8.48,RU,1573252995
213,jieshi,22.82,115.83,69.01,60,44,8.1,CN,1573252995
214,banda aceh,5.56,95.32,72.68,86,95,3.27,ID,1573252413
215,staryy nadym,65.61,72.68,-2.26,97,79,12.35,RU,1573252995
216,tasiilaq,65.61,-37.64,39.2,55,100,47.2,GL,1573252995
217,nabire,-3.36,135.5,86.16,59,100,0.45,ID,1573252995
218,berlevag,70.86,29.09,17.6,85,75,12.75,NO,1573252381
219,ishigaki,24.34,124.16,68.0,68,20,13.87,JP,1573252996
220,kralendijk,12.15,-68.27,84.2,74,20,16.11,BQ,1573252996
